373.15	0	0
369.27	0.015	0.139
365.61	0.035	0.261
359.79	0.1	0.436
356.66	0.183	0.525
354.88	0.292	0.585
353.89	0.394	0.611
353.06	0.501	0.648
352.73	0.543	0.669
352.04	0.631	0.714
351.67	0.749	0.781
351.64	0.794	0.814
351.4	0.848	0.855
351.33	0.899	0.898
351.37	0.949	0.946
351.45	1	1
